0,1
Bees,bb
Bees, bs
Body,x
Brig,br
Boat,e
Boat, q
Boat, u
Beta,b
Beth,b
Blob,o
Ball,o
Book,bk
Book, lib
Book, nt
Book, ot
Book, tome
Book, vol
Beat,lam
Beat, tan
Born,b
Born, n
Born, nat
Born, ne
Born, nee
Bone,os
Bone, t
Bull,ox
Bark,tan
Bark, woof
Bill,ac
Bill, acc
Beer,ale
Busy,tec
Blue,sad
Bend,s
Bend, u
Bend, z
Bach,b
Bird,prison
Bird, tit
Bass,b
Beard,awn
Baron,b
Baron, bn
Brown,tan
Bears,has
Badly,ill
Bound,bd
Beady,bd
Books,bb
Books, nt
Books, ot
Boron,b
Butler,rab
Bender,knee
Butter,ram
Bikini,atoll
Banker,river
Bowler,drake
Beware,kv
Before,a
Before, an
Before, ere
Barium,ba
Bowled,b
Bloody,b
Bloody, red
Bishop,b
Bishop, bp
Bishop, odo
Bishop, rr
Bedbug,b
Brahms,b
Barrel,b
Brakes,abs
Buzzer,bee
Bridge,br
Branch,br
Barrels,b
Belgium,b
Bandage,t
Britain,b
Britain, br
British,b
British, br
Blunder,err
Barrier,dam
Batting,in
Breadth,b
Bargain,go
Brother,br
Brother, bro
Bluetit,nun
Bloomer,flower
Bachelor,b
Bachelor, ba
Boasting,am
Boasting, iam
Boasting, im
Business,ado
Business, biz
Business, co
Business, firm
Beginning,alpha
Bookmaker,amos
Bookmaker, job
Beethoven,b
Barbarian,hun
Brazilian,para
Blockbuster,sculptor
Blood group,a
Blood group, b
Blood group, o
Before Christ,ac
Before Christ, bc
Bridge players,e
Bridge players, n
Bridge players, s
Bridge players, w
Bridge partners,ew
Bridge partners, ns
Bridge opponents,ne
Bridge opponents, nw
Bridge opponents, se
Bridge opponents, sw
Can,able
Can, may
Can, tin
Cue,q
Cat,mog
Cat, rex
Cat, tom
Cow,lower
Car,mini
Car, rr
Chi,x
Che,i
Cuba,c
Cape,c
Cook,do
Cavy,kv
Cedi,c
Cent,c
Cent, ct
Cove,man
Club,c
Cold,c
Cave,kv
Clef,f
Clef, g
City,ec
City, ely
Corn,rip
Cart,t
Copy,ape
Cash,tin
Card,ace
Celt,p
Celt, q
Cheat,do
Class,cl
Cross,t
Cross, tau
Cross, x
Cagey,kg
Cases,ca
Crown,cr
Court,ct
China,ch
China, ming
Chief,ch
Chief, cid
Child,brat
Child, ch
Carat,car
Carat, ct
Cutie,qt
Caput,c
Cloth,rep
Cloth, t
Close,nie
Craft,art
Clear,rid
Curve,arc
Circa,c
Curse,ban
Cavity,o
Castle,oo
Castle, r
Copper,cu
Copper, d
Copper, p
Copper, pc
Circle,disc
Circle, o
Circle, ring
Caught,c
Caught, ct
Cipher,o
Custom,use
Cheers,ta
Credit,cr
Cattle,kine
Cattle, neat
Corner,l
Cobalt,co
County,avon
County, co
County, down
County, som
Chewed,bit
Cloudy,c
Capone,al
Censor,cato
Censor, edit
Cleric,bd
Cleric, dd
Carbon,c
Clause,cl
Coulomb,c
Cedilla,z
Cayenne,kn
College,c
College, eton
College, poly
Celsius,c
Chapter,c
Chapter, cap
Chapter, ch
Circuit,o
Correct,ok
Chemist,mps
Centime,c
Centime, ct
Century,c
Counter,geiger
Counter, gm
Company,co
Company, firm
Company, two
Current,ac
Current, dc
Capture,net
Captain,cid
Captain, old man
Crossed,t
Certain,sure
Capital,ai
Cunning,art
Calcium,ca
Charles,c
Cornwall,sw
Children,seed
Champion,ace
Champion, ch
Chemical,nitre
Chlorine,cl
Colombia,co
Citation,cit
Constant,k
Commotion,todo
Companion,ch
Childless,sp
Commander,cinc
Commander, co
Commander, com
Commander, oc
Contralto,c
Continent,asia
Continent, eur
Condition,if
Cherished,pet
Copyright,c
Concerning,re
Chromosome,x
Chromosome, y
California,cal
Completely,all
Cakesville,eccles
Centigrade,c
Collection,ans
Contrivance,art
Conspirator,cade
Conspirator, oates
Connecticut,ct
Corporation,tum
Contemporary,ad
Czechoslovakia,cs
Chinese dynasty,han
Chinese dynasty, ming
Dee,d
Day,d
Day, v
Dry,sec
Dry, tt
Dog,cur
Dog, mutt
Dog, tail
Dram,dr
Days,dd
Deci,d
Duke,d
Duke, fist
Date,d
Deep,main
Deep, sea
Dawn,nus
Dial,o
Disc,o
Drag,d
Duck,o
Draw,x
Doll,qp
Decay,rot
Doubt,um
Ditto,do
Delta,d
Devon,sw
Daisy,cow
Ditch,haha
Daily,char
Daily, times
Dance,pas
Desert,rat
Drawer,dr
Debtor,dr
Decree,act
Dollar,s
Double,bi
Double, di
Doctor,bm
Doctor, dd
Doctor, dr
Doctor, gp
Doctor, mb
Doctor, md
Doctor, mo
Doctor, who
Delete,d
Divine,dd
Degree,ba
Degree, d
Degree, deg
Degree, ma
Donkey,ass
Donkey, ned
Denmark,dk
Display,air
Density,d
Diamond,d
Diamond, ice
Diamond, rock
Dessert,fool
Deutsch,d
Drinking,on
Deserter,rat
Deserted,d
Director,d
Drawback,ward
Diplomat,cd
Democrat,d
Doctrine,ism
Diameter,d
Designer,dior
Daughter,d
Diamonds,ice
Doughboy,gi
Detective,det
Detective, tec
Deuterium,d
Direction,e
Direction, n
Direction, s
Direction, w
Directors,board
Decimally,intens
Dressmaker,satin
Dressmaker, silk
Detectives,cid
Detectives, yard
Difficulty,ado
Difficulty, er
Disadvantage,ward
Decentralise,core
Dear in French,cher
Dear in French, chere
Ex,x
El,l
Em,m
Es,s
En,n
Els,ll
Els, ls
Eta,e
Eec,twelve
Ess,s
Egg,o
Eye,i
Ens,nn
Ens, ns
Ems,mm
Ems, ms
Ell,l
Err,sin
Ewe,u
Era,ad
Exe,x
Ever,ay
Ever, aye
Ever, eer
Ever, er
Eyes,ii
Eyes, is
Ewes,us
Ewes, uu
Ease,ee
Ease, es
Ergo,so
Each,ea
Ells,ll
Ells, ls
East,e
Evil,sin
Envy,nv
Exist,be
Excel,xl
Empty,o
Earth,e
Earth, ge
Essay,sa
Essay, try
Essex,sx
Eight,e
Egypt,et
Essen,sn
Effect,a
Eighty,r
Employ,use
Exists,iss
Exotic,et
Energy,go
Eleven,ii
Eleven, o
Eleven, xi
Edward,e
Edward, ed
Edward, ted
Expert,able
Expert, ace
Expert, dab
Expert, pro
Editor,ed
Eyesore,stye
Excited,up
English,e
English, eng
England,e
England, eng
England, uk
Eastern,e
Epsilon,e
Ecuador,ec
Epistle,ep
Elected,in
Ecstatic,sent
Engineer,re
Economist,mill
Economist, smith
Everybody,all
Elizabeth,e
Extremity,toe
Explosive,he
Explosive, tnt
Enclosure,pen
Engineers,ce
Engineers, re
Engineers, reme
Encourage,egg
Excellency,he
Everything,all
Employment,use
Examination,a
Examination, o
Examination, oral
Examination, test
Extraterrestrial,et
For,pro
Fox,tod
Foot,f
Foot, ft
Fish,cod
Fish, eel
Fish, gar
Fish, id
Fish, ide
Fish, ling
Four,d
Four, iv
Five,e
Five, v
From,ex
Fine,f
Fine, ok
Fine, scot
Feet,ft
Firm,co
Firm, fast
Fool,ass
Fuss,ado
Film,a
Film, et
Film, u
Film, x
Free,rid
Fifty,a
Fifty, l
Forte,f
Farad,f
Force,f
Force, vis
Franc,fr
Filly,f
Fleet,rn
First,ist
Friar,tuck
Field,lea
Field, ley
Folio,f
Folio, fo
Folio, fol
Forty,f
Folios,ff
French,fr
Forced,fz
Feller,ko
Flower,lis
Flower, river
Flower, rose
Fliers,raf
Fabric,net
France,f
Female,f
Female, hen
Female, her
Female, she
Fathom,f
Friday,f
Friday, man
Fellow,don
Fellow, f
Fellow, gent
Fellow, man
Former,ex
Father,dad
Father, fr
Father, pa
Father, pop
Father, time
Florida,fla
Flowers,lei
Fashion,rage
Fashion, ton
Fighter,gi
Fighter, man
Footnote,ps
Farewell,vale
Favoured,in
Fighters,uff
Fast car,gt
Fast car, rod
Feminine,f
Farthing,f
Farthing, q
Fragment,fr
Fragment, ort
Fluorine,f
Football,fa
Football, ru
Favourite,pet
Following,f
Frequency,f
Final word,amen
Final word, omega
Fertiliser,nitre
Followings,ff
Fortissimo,ff
French man,m
French man, rene
Frequently,fr
Fahrenheit,f
Flourished,fl
French king,roi
French king, sm
First class,a
First class, ai
For example,eg
For example, vg
Fashionable,in
Five hundred,a
Five hundred, d
Five hundred, q
French queen,reine
French queen, sm
First person,adam
First person, i
First person, me
Final letter,omega
Final letter, z
First letter,a
First letter, alpha
Four hundred,g
Four hundred, p
Five thousand,a
Five thousand, e
Final message,obit
Final message, rip
First character,a
First character, adam
Gee,g
Gas,cl
Gas, co
Gas, f
Gas, h
Gas, he
Gas, n
Gas, ne
Gas, o
Gym,pe
Gift,gab
Good,a
Good, ai
Good, pi
Game,nim
Girl,g
Girl, gal
Gold,au
Gold, bull
Gold, or
Gram,g
Gulf,g
Gulf, o
Gamut,g
Gamma,g
Grand,g
Gauss,g
Greek,gr
Gypsy,chal
Gypsy, rom
Grain,gr
Group,set
Globe,o
Gunner,ra
Gotham,ny
Greece,gr
Genius,id
Gunmen,grs
Gunmen, ra
Grouse,gr
Guinea,g
Guinea, gu
Gramme,g
Gramme, gr
Garden,eden
Garden, plot
George,g
George, gr
Gaelic,erse
Gaelic, gael
Gravity,g
Goddess,ate
Goddess, athena
Goddess, hebe
Goddess, isis
Gallery,tate
Gunners,ra
Goodbye,tata
Goodbye, vale
Germany,d
Germany, de
Germany, g
Georgia,ga
Grammar,gr
Genesis,gen
General,gen
General, goc
General, grant
General, lee
Graduate,ba
Graduate, ma
Gangster,al
Greeting,ave
Greeting, hi
Graphite,kish
Good man,dean
Good man, st
Governor,he
Gentleman,sir
Guerrilla,che
Gradually,eric
Good book,nt
Good book, ot
Generation,era
Greek letter,alpha
Greek letter, beta
Greek letter, chi
Greek letter, eta
Greek letter, iota
Greek letter, lambda
Greek letter, mu
Greek letter, nu
Greek letter, omega
Greek letter, phi
Greek letter, pi
Greek character,mu
Greek character, nu
Greek character, pi
Hot,h
His,s
Has,s
Hard,h
Heat,j
Half,demi
Half, hf
Half, semi
Hill,mt
Hill, tor
Head,ness
Head, pate
Head, ras
Hoop,o
Hail,ave
Hand,ab
Hand, h
Hand, l
Hand, man
Hand, r
Hush,sh
Hush, st
Hour,h
Hour, hr
Horse,arab
Horse, barb
Horse, cob
Horse, gee
Horse, gg
Horse, h
Horse, nag
Hedge,haw
Henry,h
Heart,h
House,co
House, cot
House, h
House, ho
House, semi
Hello,hi
Honey,mel
Heath,ted
Hymns,am
Helium,he
Hunter,orion
Hollow,o
Honour,ch
Honour, obe
Honour, om
Healer,dr
Height,h
Husband,h
Husband, man
Hundred,c
Hundred, ic
Hundred, ton
Heather,ling
Hydrant,h
Hungary,h
Hundreds,cs
Hundreds, d
Hydrogen,h
Hospital,h
Half day,am
Half day, pm
Hindrance,let
Holy Writ,nt
Holy Writ, ot
Horse race,derby
Horse race, national
Horse race, oaks
High class,a
High class, ai
High class, u
Humberside,ne
Hesitation,er
Hesitation, um
Hesitation, ur
Hairdresser,comb
Handwriting,ms
Housekeeper,lar
Half minute,min
Half minute, mo
Half minute, ute
Hebrew letter,aleph
Hebrew letter, beth
Hebrew letter, lamed
Hebrew letter, resh
Hebrew letter, teth
Hebrew letter, vau
Hundred thousand,c
Hundred thousand, lac
I,a
I, an
I, ane
I, ay
I, aye
I, eye
It,a
It, sa
If,an
Is,s
Ivy,iv
Inn,bar
Iowa,ia
I am,am
I am, iam
I am, im
Iron,fe
Iran,ir
Iota,i
I say,aye
I say, eye
India,ind
Issue,son
Italy,i
Iodine,i
Izzard,z
Island,ait
Island, eyot
Island, i
Island, inch
Island, iom
Island, is
Island, man
Indeed,deed
Italian,it
Iceland,is
Ireland,irl
Illness,flu
Integers,z
Instinct,id
Illinois,ill
Inventor,edison
Informer,grass
Informer, nose
Intended,ment
Inferior,b
Infantry,foot
Individual,i
Invariably,eer
Inductance,l
Information,gen
Illegal army,eta
Illegal army, ira
Illegal army, plo
Individuality,ka
International,cap
International, un
Identification,id
Indefinite number,n
Indefinite number, no
Jay,j
Jack,j
Joule,j
Jelly,gel
Japan,j
Jolly,rm
Judge,j
Justice,j
Jamaica,ja
Junction,t
Journalist,ed
Kay,k
King,cr
King, er
King, gr
King, hm
King, k
King, lear
King, r
Knew,wist
Kelt,p
Kelt, q
Kiss,x
Kale,kl
Kilo,k
Kappa,k
Knave,j
Koppa,q
Knight,k
Knight, kt
Knight, n
Knight, sir
Kelvin,k
Kewpie,qp
Koechel,k
Koechel, kv
Krypton,kr
Kentucky,ky
Kilometre,km
King in French,roi
King in French, sm
Lot,c
Lot, d
Lot, m
Low,moo
Leg,on
Loch,ness
Lira,l
Look,lo
Look, see
Look, v
Look, vide
Lire,l
Loud,f
Long,l
Lake,erie
Lake, l
Lake, loch
Lady,dame
Lady, eve
Lady, she
Love,nil
Love, o
Line,i
Line, l
Line, row
Line, ry
Limb,arm
Limb, leg
Like,as
Left,l
Left, port
Live,be
Live, l
Loop,o
Lead,pb
Late,ex
Lines,br
Lines, rly
Lines, ry
Litre,l
Lumen,l
Libya,lar
Light,very
Leave,part
Liner,ss
Label,tab
Label, tag
Large,l
Lower,cow
Layer,e
Layer, hen
Laugh,ha
Laugh, haha
Laugh, hehe
Local,inn
Local, ph
Local, pub
Level,a
Level, y
Loaded,lit
Lawyer,bl
Lawyer, da
Little,wee
Length,ell
Length, l
Looker,eye
Lawman,bl
Lawman, da
Lawman, earp
Labour,l
Labour, lab
Legate,he
Leaves,tea
Lambda,l
League,l
Leading,noi
Lambert,l
Lawyers,bar
Learner,l
Lettuce,cos
Leftist,red
Lincoln,abe
Largesse,s
Landline,br
Landline, rly
Landline, ry
Lawrence,te
Lawgiver,moses
Listener,ear
Learning,l
Latitude,l
Last word,amen
Last word, obit
Last word, rip
Lunchtime,i
Lunchtime, one
Louisiana,la
Left hand,lh
Left hand, vo
Luminance,l
Licentiate,l
Luxembourg,l
Little way,rd
Little way, ry
Little way, st
Laboratory,lab
Lieutenant,lt
Last month,dec
Last month, ult
Last letter,omega
Last letter, z
Little horse,gee
Little horse, gg
Little horse, nag
Little horse, ned
Large amount,lot
Large amount, ton
Mu,m
Man,bo
Man, g
Man, iom
Man, isle
Man, m
Man, vir
Men,or
Male,he
Male, him
Male, m
Moon,m
Mile,m
Mare,m
Main,deep
Main, sea
Mark,d
Mark, dm
Mark, m
Many,c
Mass,m
Moth,y
Mole,pier
Mole, spy
Money,brass
Money, cent
Money, l
Money, m
Money, tin
Match,test
Metre,m
Malta,m
Meter,m
Month,m
Month, mo
Month, r
Minor,wee
Medal,mc
Medal, mm
Medal, td
Meant,ment
Master,m
Master, ma
Months,mos
Mister,mr
Medium,m
Monday,m
Monday, mon
Manage,run
Miners,num
Memory,ram
Memory, rom
Mother,dam
Mother, ma
Mother, mam
Mother, mum
Mature,age
Midday,a
Midday, m
Midday, n
Marine,jolly
Marine, rm
Maiden,io
Maiden, m
Maiden, over
Member,arm
Member, leg
Member, m
Member, mp
Member, toe
Mountie,mp
Managed,ran
Meeting,agm
Marshal,ney
Morning,am
Measure,el
Measure, ell
Measure, em
Measure, en
Measure, ft
Measure, m
Measure, y
Measure, yd
Mounted,up
Monarch,er
Monarch, k
Monarch, r
Married,m
Mayfair,wi
Modulus,m
Mercury,hg
Missiles,ammo
Monsieur,m
Mounties,mp
Mischief,ate
Missouri,mo
Mailboat,rms
Midnight,g
Motorway,m
Motorway, mi
Mountain,alp
Mountain, mt
Mountain, tor
Main road,ai
Main road, mi
Masculine,m
Magnesium,mg
Manuscript,ms
Mouthpiece,lips
Management,admin
Mountaineer,sherpa
Misanthrope,timon
Mississippi,miss
Manuscripts,mss
Massachusetts,mass
Maths function,log
Maths function, sine
Maths function, tan
Nu,n
No,o
Nil,o
Not,ne
New,n
Now,ad
Now, anon
Navy,rn
Nine,ix
Noun,n
Neon,ne
Noon,m
Noon, n
Note,do
Note, doh
Note, fa
Note, fah
Note, la
Note, lah
Note, me
Note, mi
Note, n
Note, nb
Note, re
Note, si
Note, so
Note, soh
Note, sol
Note, te
Note, ti
Note, tic
Note, ut
Name,n
Neck,col
Neck, v
Neat,cattle
Neat, cow
Neat, kine
Neat, ox
Near,nie
Neper,n
Noisy,f
North,n
Named,dit
Notch,v
Nurse,sen
Nurse, srn
Nurse, vad
Novel,she
Nickel,ni
Naught,o
Nought,o
Namely,sc
Number,d
Number, ether
Number, n
Number, no
Number, pin
Newton,n
Native,abo
Notice,ad
Notice, d
Novice,l
Norway,n
Ninety,n
Ninety, q
Ninety, xc
Neuter,n
Network,rete
Not out,in
Not out, no
Nothing,nil
Nothing, o
Neutral,n
No good,ng
No good, us
Northern,n
Neckline,v
Nitrogen,n
Nowadays,ad
National,n
Nobleman,don
New York,gotham
New York, ny
Newspaper,ft
Newspaper, sun
Neat sound,lowing
Neat sound, moo
North-west,nw
Number one,adam
Number one, i
Number one, me
Number one, noi
North-east,ne
Nationalist,n
Nationalists,sdp
No in Scottish,na
No in Scottish, nae
Not  in Scottish,na
Not  in Scottish, nae
Ninety thousand,n
Ninety thousand, q
Ox,kine
Ox, neat
On,leg
Oh,o
Orb,o
Owe,o
One,ace
One, ane
One, i
One, j
One, un
Ohs,oo
Ohs, os
Okay,ok
Over,re
Over, supra
Ohio,o
Ogee,og
Opus,op
Odds,sp
Owes,oo
Owes, os
Ought,o
Ounce,oz
Omega,z
Order,ch
Order, obe
Order, om
Order, po
Organ,ear
Opener,key
Office,den
Office, loo
Orient,e
Outlaw,ban
Oxygen,o
Old man,dad
Old man, pa
Old man, pop
Officer,co
Officer, lt
Omicron,o
Opening,o
Outsize,os
Old city,troy
Old city, ur
Opposing,v
Objector,co
Opposite,op
Old king,cole
Old king, lud
Old king, offa
Oriental,e
Oriental, ine
Offensive,tet
Orchestra,lso
One pound,al
One pound, alb
One pound, il
One pound, ilb
One pound, l
One pound, lb
Operation,op
Operating,on
One member,amp
One member, imp
Old injury,teen
Old injury, tene
Old fiddle,gu
Old fiddle, gue
Old railway,lner
Old railway, sr
Old shilling,bob
Old shilling, s
Of the (French),dela
Of the (French), des
Of the (French), du
Put,set
Per,a
Peg,p
Peg, t
Peg, tee
Pea,p
Pen,j
Pees,pp
Pees, ps
Peas,pp
Peas, ps
Park,p
Pure,net
Peru,pe
Pawn,p
Pint,p
Pint, pt
Pair,pr
Page,p
Posh,u
Pole,np
Pole, po
Pole, rod
Pole, sp
Pass,col
Part,pt
Puff,ad
Port,aden
Port, l
Port, rio
Poet,ae
Peak,alp
Pupil,l
Pedal,p
Piano,p
Pound,ezra
Pound, l
Pound, lam
Pound, lb
Point,e
Point, head
Point, n
Point, ness
Point, pt
Point, s
Point, tor
Point, w
Pluto,dis
Penny,d
Penny, p
Plate,t
Pilot,ace
Pilot, george
Paper,a
Paper, b
Paper, ms
Price,pr
Pages,pp
Peavy,pv
Piece,bit
Piece, man
Piece, pawn
Power,p
Power, vis
Party,con
Party, do
Party, lab
Party, lib
Party, tory
Poise,p
Panama,pa
Prince,p
Prince, pr
Prince, ras
Pellet,o
Poland,pl
Papers,mss
Prison,bird
Prison, can
Prison, cooler
Prison, hock
Prison, jug
Prison, nick
Prison, pen
Prison, quad
Prison, stir
People,men
People, nation
People, race
Police,cid
Police, force
Police, met
Permit,let
Priest,eli
Priest, pr
Priest, rev
Private,gi
Primate,ape
Prophet,eli
Painter,ara
Painter, ney
Painter, pra
Painter, ra
Prevent,bar
Parking,p
Playing,in
Playing, on
Paragon,s
Paragon, saint
Paragon, st
Provided,if
Practise,use
Practice,use
Princess,anne
Princess, di
Princess, ida
Princess, ina
Princess, regan
Paradise,eden
Painting,art
Particle,x
Portugal,p
Platinum,pt
Primitive,ur
Palladium,po
Policeman,mp
Policeman, pc
Promotion,ad
President,chair
President, p
President, pr
President, pres
Permitted,let
Potassium,k
Providing,if
Prominence,tor
Politician,con
Politician, lab
Politician, lib
Politician, mp
Politician, tory
Performing,on
Poor horse,rosinante
Poor horse, tit
Participle,p
Postscript,ps
Pianissimo,pp
Prohibition,ban
Peacemakers,acas
Performance,act
Pretty girl,cutie
Pretty girl, dish
Partnership,ew
Partnership, ns
Partnership, sn
Partnership, we
Philosopher,bacon
Philosopher, plato
Phosphorous,p
Peacekeepers,un
Part of Bible,nt
Part of Bible, ot
Priest in French,abbe
Priest in French, cure
Play in Japanese,no
Play in Japanese, noh
Preservationists,nt
QE,er
Queen,bess
Queen, er
Queen, hm
Queen, mab
Queen, q
Queen, qu
Queen, r
Query,q
Quart,qt
Quart, qu
Quiet,mum
Quiet, p
Quiet, qt
Quiet, sh
Queue,cue
Queue, q
Quebec,q
Quarter,e
Quarter, n
Quarter, ne
Quarter, nw
Quarter, s
Quarter, se
Quarter, sw
Quarter, w
Quality,q
Quintal,q
Question,q
Queensland,q
Run,r
Ray,x
Row,ado
Row, tier
Rho,r
Rex,r
Rail,ry
Rail, t
Roof,m
Rate,mph
Race,nation
Race, tt
Rare,r
Rain,r
Rand,r
Rage,ire
Ring,disc
Ring, o
Rook,r
Road,a
Road, ave
Road, r
Road, rd
Road, st
Royal,r
Right,r
Right, rt
Rugby,ru
Romeo,r
River,aire
River, alph
River, cam
River, dee
River, exe
River, fal
River, isis
River, ouse
River, po
River, r
River, tay
River, tees
River, ure
Roman,vir
Round,o
Ready,go
Ready, set
Rating,ab
Rector,r
Runner,river
Radius,r
Rubber,ule
Regina,r
Riding,up
Romans,pr
Romans, rom
Rabbit,brer
Record,cd
Record, disc
Record, entry
Record, ep
Record, log
Record, lp
Recipe,r
Recipe, rec
Running,admin
Romania,r
Retreat,den
Reading,r
Railway,br
Railway, l
Railway, rly
Railway, ry
Rubbish,rot
Rubbish, tat
Roughly,c
Roughly, ca
Reaumur,r
Refusal,no
Reserves,ta
Relative,rel
Relation,sib
Railways,br
Reported,dit
Restrain,dam
Religious,pi
Resistance,r
Right hand,rh
Right hand, ro
Rowing boat,eight
Rowing boat, four
Relationship,pi
Revolutionary,che
Revolutionary, red
Representative,mp
So,ergo
See,c
See, ely
See, lo
See, v
See, vid
See, vide
Sun,ra
Sun, s
Son,s
Spy,agent
Six,vi
Sum,add
Sea,c
Sea, deep
Sea, main
Sin,err
Sons,s
Side,l
Side, r
Side, s
Side, xi
Side, xv
Sign,v
Seas,cc
Seas, cs
Ship,ss
Scot,ian
Scot, jock
Scot, mac
Scot, mon
Said,idem
Stop,colon
Stop, pt
Suit,g
Seer,eye
Seer, optic
Same,do
Same, id
Save,bar
Snow,s
Scab,rat
Song,air
Song, aria
Song, lay
Soak,ret
Step,pas
Salt,ab
Salt, jack
Salt, tar
Soft,b
Soft, p
Soft, pp
Small,s
Small, tiny
Small, wee
Saint,s
Saint, st
Seven,s
Seven, z
Spain,e
Stone,st
Space,s
Shark,nurse
Sheep,ram
Sofly,pp
South,s
Speed,mph
Speed, rate
Spade,s
Sling,ign
Sling, ing
Study,con
Study, den
Spies,cia
Spasm,tic
Seedy,cd
Snake,asp
Snake, boa
Sloth,ai
Skill,art
Shirt,t
Senior,sr
Saints,ss
Saints, sts
Seaman,ab
Seaman, jack
Seaman, tar
Silver,ag
Solver,you
Summer,bst
Sodium,na
Shares,scrip
Stokes,s
Stokes, st
Square,s
Square, t
Sapper,re
Softly,p
Source,parent
Spring,c
Spring, spa
Simple,herb
Sister,s
Sister, sis
School,eton
String,a
String, d
String, e
String, g
Sailor,ab
Sailor, jack
Sailor, os
Sailor, tar
Strong,f
Scorer,composer
Second,b
Second, mo
Second, s
Second, sec
Street,st
Sweden,s
Single,i
Sabbath,s
Surgeon,vet
Society,s
Service,ace
Service, let
Service, mass
Service, raf
Service, rm
Service, rn
Sappers,re
Snoring,zz
Sailors,rn
Soprano,s
Soprano, sop
Siemens,s
Soldier,ant
Soldier, gi
Soldier, man
Soldier, ney
Scruple,scr
Swindle,con
Stumped,st
Strings,a
Strings, d
Strings, g
Swimmer,cod
Swimmer, eel
Swimmer, ling
Stunner,ko
Student,l
Settled,lit
Species,sp
Sun-god,sol
Silicon,si
Scholar,ba
Scholar, ma
Support,bra
Support, leg
Spangle,o
Success,go
Sulphur,s
Smuggle,run
Silence,mum
Silence, sh
Silence, st
Silence, tace
Southern,s
Sixpence,vid
Sixpence, vip
Stand-in,sub
Superior,u
Superior, up
Shilling,s
Scotsman,ian
Scotsman, jock
Scotsman, mac
Scotsman, mon
Soldiers,impi
Soldiers, men
Soldiers, or
Soldiers, ra
Soldiers, re
Soldiers, sas
Soldiers, ta
Students,nus
Skipping,omitting
Speakers,lips
Standard,par
Smuggled,ran
Sergeant,nco
Sergeant, sgt
Salesman,rep
Saturday,s
Saturday, sat
Steamship,ss
Show-ring,manifesto
Spymaster,m
Subaltern,lt
Secretary,temp
Screecher,swift
Spectator,eye
Sovereign,l
Schmieder,s
Sandhurst,rma
Succeeded,s
Socialist,red
South-east,se
Six-footer,ant
Six-footer, bee
Six-footer, insect
South-west,sw
Substitute,sub
Sports car,gt
Sports car, rod
Submariner,nemo
Short time,mo
Short time, sec
Short time, t
Speculator,bear
Speculator, stag
Scriptures,nt
Scriptures, ot
Spectacles,oo
Sweetheart,jo
Switzerland,ch
Small square,em
Small square, m
Small weight,ct
Small weight, gr
Small weight, oz
Small weight, wt
Soviet Union,su
Soviet Union, ussr
Specifically,as
Specifically, sc
Social worker,ant
Social worker, bee
Small measure,cc
